fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Dec,29,TAMIL NADU,2902,TIRUVALLUR,6589310,272.530008749094,35,2894,6552.463525393,7484,0,10051,8134557,3000903,119600,249833,8584,1399.06348,30120.635909193,229715,237340,266565,312542,113,306719,372531,17535,22169.1089038,7401257,43,24.25,57.54,99.99,NA
2024-2025,Dec,29,TAMIL NADU,2903,CUDDALORE,9149410,267.114122352659,28,6584,9600.525586786,14488,0,12392,10639262,3820732,254777,66161,3447,1509.46418,39528.961082886,373008,472613,422446,679013,226,465828,731368,26880,28418.9713161,8347348,56,44.06,30.88,99.95,NA
2024-2025,Dec,29,TAMIL NADU,2911,COIMBATORE,831068,295.798178290991,36,229,2030.679122699,3852,0,5007,1806743,620456,31871,47571,1889,519.90103,7894.893033099,49285,50855,84270,93906,274,108900,121572,8859,5344.3128804,1654110,69,68.97,8.17,99.9,NA
2024-2025,Dec,29,TAMIL NADU,2933,CHENGALPATTU,5037432,279.130226759763,31,3329,3591.32229494,5731,0,7229,4812494,2004383,105903,102444,4346,748.9906,17773.43830994,152289,160229,199007,243571,129,218670,278332,12960,13433.125415,4228671,54,12.82,73.61,99.99,NA
2024-2025,Dec,29,TAMIL NADU,2936,TENKASI,2885386,286.379259838781,26,1684,3043.503625171,4064,0,3883,2679092,798355,63826,715,76,466.50705,11182.374515171,102077,115440,142656,193574,94,163117,216778,7947,7672.36384,2187793,56,23.26,50.77,99.99,NA
2024-2025,Dec,29,TAMIL NADU,2912,THE NILGIRIS,559828,302.288528095337,39,239,774.367252648,1019,0,2143,756727,221316,13361,60470,3828,239.43138,3301.297542648,18965,19982,35213,44572,184,55086,67273,3162,2287.49891,642857,86,14.78,60.37,100,NA
2024-2025,Dec,29,TAMIL NADU,2923,RAMANATHAPURAM,4427151,296.470178695931,35,4325,6588.48739770796,19143,0,11693,6264944,1492766,63783,486,24,925.4399,26087.617969708,174957,188859,200952,247344,1018,222232,270447,30836,18573.690672,5493892,79,60.33,11.19,100,NA
2024-2025,Dec,29,TAMIL NADU,2932,TIRUPPUR,2946406,278.472506780911,42,613,6963.02949781901,6416,0,4720,3907661,1412372,65588,6059,262,593.2987,18438.089741019,92978,97141,143866,169429,785,177208,227788,11136,10881.7615432,3402256,67,59.67,18.29,100,NA
2024-2025,Dec,29,TAMIL NADU,2902,TIRUVALLUR,6589310,270.857384117163,35,2895,6552.463525393,7539,0,10265,8199014,3026362,119612,251317,8585,1400.33071,30160.429079193,229891,237528,266582,312567,121,306758,372579,17804,22207.6348438,7460522,42,24.64,57.23,99.99,NA
2024-2025,Dec,29,TAMIL NADU,2904,VILLUPURAM,9670314,268.170590698468,35,10471,9056.605535829,6556,0,10114,13383021,3849179,178789,176658,6925,1702.80391,46648.735914829,380789,433795,434580,604418,643,456988,637652,16670,35889.326469,11102661,48,14.95,69.48,99.99,NA
